Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_ShowNoBuildZoneRadius,"Show No-Build Radius","Show No-Build Radius","Show No-Build Radius","Show No-Build Radius","Показать радиус запрета строительства","Wyświetlanie promienia zakazu budowy","Show No-Build Radius","Show No-Build Radius","Show No-Build Radius","Afficher les Rayons Non Construction","Show No-Build Radius","Show No-Build Radius","Show No-Build Radius","Show No-Build Radius",
STR_DrawStrikeLinesForNBValue,"Draw Strike Lines for No-Build Circle","Draw Strike Lines for No-Build Circle","Draw Strike Lines for No-Build Circle","Draw Strike Lines for No-Build Circle","Отобразить штриховые линии для круга запрета строительства","Wyświetlanie linii przerywanych dla okręgu zakazu budowy","Draw Strike Lines for No-Build Circle","Draw Strike Lines for No-Build Circle","Draw Strike Lines for No-Build Circle","Dessiner Hachures pour Cercle Non Construction","Draw Strike Lines for No-Build Circle","Draw Strike Lines for No-Build Circle","Draw Strike Lines for No-Build Circle","Draw Strike Lines for No-Build Circle",
STR_NoBuildZoneColorValue,"Color for No-Build Circle","Color for No-Build Circle","Color for No-Build Circle","Color for No-Build Circle","Цвет для круга запрета строительства","Kolor okręgu zakazu budowy","Color for No-Build Circle","Color for No-Build Circle","Color for No-Build Circle","Couleur pour Cercle Non Construction","Color for No-Build Circle","Color for No-Build Circle","Color for No-Build Circle","Color for No-Build Circle",
STR_NoLogOutSettings,"No Logout Settings","No Logout Settings","No Logout Settings","No Logout Settings","Настройки No Logout","Ustawienia No Logout","No Logout Settings","No Logout Settings","No Logout Settings","Configuration Non Déconnection","No Logout Settings","No Logout Settings","No Logout Settings","No Logout Settings",
STR_NoBuildRadi,"No Build Radius (like +50m ontop of zone radius) -1 = Disabled","No Build Radius (like +50m ontop of zone radius) -1 = Disabled","No Build Radius (like +50m ontop of zone radius) -1 = Disabled","No Build Radius (like +50m ontop of zone radius) -1 = Disabled","“Настройки радиуса запрета строительства (+50м)”","„Ustawienia promienia zakazu budowy (+50m)”","No Build Radius (like +50m ontop of zone radius) -1 = Disabled","No Build Radius (like +50m ontop of zone radius) -1 = Disabled","No Build Radius (like +50m ontop of zone radius) -1 = Disabled","Rayon Non Construction (comme +50m sommet Rayon de zone) -1 = Désactivé","No Build Radius (like +50m ontop of zone radius) -1 = Disabled","No Build Radius (like +50m ontop of zone radius) -1 = Disabled","No Build Radius (like +50m ontop of zone radius) -1 = Disabled","No Build Radius (like +50m ontop of zone radius) -1 = Disabled",
STR_NoBuildSettings,"No Build Settings","No Build Settings","No Build Settings","No Build Settings","Параметры запрета на строительство","Parametry zakazu budowy","No Build Settings","No Build Settings","No Build Settings","Configuration Non Construction","No Build Settings","No Build Settings","No Build Settings","No Build Settings",
STR_ZoneIgnoreHeightCheckValue,"Ignore Height checks","Ignore Height checks","Ignore Height checks","Ignore Height checks","Отключить проверки высоты","Wyłączenie sprawdzania wysokości","Ignore Height checks","Ignore Height checks","Ignore Height checks","Ignorer contrôle Hauteur","Ignore Height checks","Ignore Height checks","Ignore Height checks","Ignore Height checks",
STR_ZoneMinMaxHeight,"Zone Height (Min,Max)","Zone Height (Min,Max)","Zone Height (Min,Max)","Zone Height (Min,Max)","Высота зоны (Мин,Макс)","Wysokość strefy (Min, Max)","Zone Height (Min,Max)","Zone Height (Min,Max)","Zone Height (Min,Max)","Hauteur Zone (Min,Max)","Zone Height (Min,Max)","Zone Height (Min,Max)","Zone Height (Min,Max)","Zone Height (Min,Max)",
STR_NBItemWhiteListList,"No-Build Deploy Whitelist","No-Build Deploy Whitelist","No-Build Deploy Whitelist","No-Build Deploy Whitelist","Белый список No-Build","Biała lista No-Build","No-Build Deploy Whitelist","No-Build Deploy Whitelist","No-Build Deploy Whitelist","Liste blanche de déploiement en Non Construction","No-Build Deploy Whitelist","No-Build Deploy Whitelist","No-Build Deploy Whitelist","No-Build Deploy Whitelist",
STR_BtnAddNBItemWhiteListTitle,"Add NB Whitelist","Add NB Whitelist","Add NB Whitelist","Add NB Whitelist","Добавить в список No-Build","Dodanie do listy No-Build","Add NB Whitelist","Add NB Whitelist","Add NB Whitelist","Ajouter N.C. Liste blanche ","Add NB Whitelist","Add NB Whitelist","Add NB Whitelist","Add NB Whitelist",
STR_ZoneDrawNoBuildShapeTitle,"Draw Shape for No-Build Zone","Draw Shape for No-Build Zone","Draw Shape for No-Build Zone","Draw Shape for No-Build Zone","Нарисовать форму для зоны запрета строительства","Rysowanie kształtu dla strefy zakazu budowy","Draw Shape for No-Build Zone","Draw Shape for No-Build Zone","Draw Shape for No-Build Zone","Dessiner forme pour Zone Non Construction","Draw Shape for No-Build Zone","Draw Shape for No-Build Zone","Draw Shape for No-Build Zone","Draw Shape for No-Build Zone",
STR_HideWhenNested2,"Hide when fully nested","Hide when fully nested","Hide when fully nested","Hide when fully nested","Скрывать при полной вложенности","Ukrywanie przy pełnej zawartości","Hide when fully nested","Hide when fully nested","Hide when fully nested","Cacher lorsqu'il est entièrement imbriqué","Hide when fully nested","Hide when fully nested","Hide when fully nested","Hide when fully nested",
STR_NoBuildMessageTitle,"No Build Message","No Build Message","No Build Message","No Build Message","Уведомление о запрете строительства","Powiadomienie o zakazie budowy","No Build Message","No Build Message","No Build Message","Message Non Construction","No Build Message","No Build Message","No Build Message","No Build Message",
STR_IconHeightSize,"Icon Height Size","Icon Height Size","Icon Height Size","Icon Height Size","Размер высоты иконки","Rozmiar wysokości ikony","Icon Height Size","Icon Height Size","Icon Height Size","Taille Hauteur Icône","Icon Height Size","Icon Height Size","Icon Height Size","Icon Height Size",
STR_IconWidthSize,"Icon Width Size","Icon Width Size","Icon Width Size","Icon Width Size","Размер ширины иконки","Rozmiar szerokości ikony","Icon Width Size","Icon Width Size","Icon Width Size","Taille Largeur Icône","Icon Width Size","Icon Width Size","Icon Width Size","Icon Width Size",
STR_AdminCanSeeAllInactiveZonesCheck,"Admins can see all Inactive Zones, if changed also reload zones again","Admins can see all Inactive Zones, if changed also reload zones again","Admins can see all Inactive Zones, if changed also reload zones again","Admins can see all Inactive Zones, if changed also reload zones again","Обновление неактивных зон при изменениях","Aktualizacja nieaktywnych stref przy zmianach","Admins can see all Inactive Zones, if changed also reload zones again","Admins can see all Inactive Zones, if changed also reload zones again","Admins can see all Inactive Zones, if changed also reload zones again","Les admins verront toutes zones inactives. Si changement ils peuvent recharger les zones.","Admins can see all Inactive Zones, if changed also reload zones again","Admins can see all Inactive Zones, if changed also reload zones again","Admins can see all Inactive Zones, if changed also reload zones again","Admins can see all Inactive Zones, if changed also reload zones again",
STR_AddZoneShiftDoubleClick,"Shift + Doubleclick Adds new Zone","Shift + Doubleclick Adds new Zone","Shift + Doubleclick Adds new Zone","Shift + Doubleclick Adds new Zone","Shift + двойной клик добавляет новую зону","Shift + podwójne kliknięcie dodaje nową strefę","Shift + Doubleclick Adds new Zone","Shift + Doubleclick Adds new Zone","Shift + Doubleclick Adds new Zone","Shift + double-click pour Ajouter nouvelle Zone","Shift + Doubleclick Adds new Zone","Shift + Doubleclick Adds new Zone","Shift + Doubleclick Adds new Zone","Shift + Doubleclick Adds new Zone",
STR_ShowLBMiniMapZones,"Show Zones on Lb Minimap","Show Zones on Lb Minimap","Show Zones on Lb Minimap","Show Zones on Lb Minimap","Показать зоны на Lb Minimap","Wyświetlanie stref na Lb Minimap","Show Zones on Lb Minimap","Show Zones on Lb Minimap","Show Zones on Lb Minimap","Afficher les Zones sur LB Minimap","Show Zones on Lb Minimap","Show Zones on Lb Minimap","Show Zones on Lb Minimap","Show Zones on Lb Minimap",
STR_ShowLBMiniMapLabels,"Show labels on LB Minimap","Show labels on LB Minimap","Show labels on LB Minimap","Show labels on LB Minimap","Показать метки на Lb Minimap","Wyświetlanie znaczników na Lb Minimap","Show labels on LB Minimap","Show labels on LB Minimap","Show labels on LB Minimap","Afficher les Noms sur LB Minimap","Show labels on LB Minimap","Show labels on LB Minimap","Show labels on LB Minimap","Show labels on LB Minimap",
STR_DisableFallDamageSZTitle,"Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone","Disable Fall-Damage in SafeZone",
STR_DisableFallDamagePVETitle,"Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE","Disable Fall-Damage in PvE",
